all_credits_amount,real_estate_amount
408452.99994466983,15000
256293.02478102193,21000
111628.74970788705,0
376189.9999278846,0
106933.99978021978,24000
324121.59788732394,0
36705.09952904238,0
429143.6996875,0
260112.04979811574,24000
355798.49999917863,48000
140968.99989388045,39000
403420.99987068964,0
305075.4998211091,15000
265366.996,21000
77834.99999917863,33000
1298492.9995024875,45000
395234.49948979594,27000
167245.99988917622,36000
432973.7496432818,27000
248595.24927360774,0
462969.37982025166,33000
437449.99863636366,39000
83941.99993686868,0
374628.2494671403,27000
846442.9199991785,0
213913.49987714988,24000
554422.4998345284,36000
213103.99999917863,45000
605978.4997448979,0
279695.89941291587,0
409569.4999322187,12000
516021.49982279976,0
133557.5498037933,27000
280027.4998351648,45000
436220.99984932196,0
524180.99954198475,27000
237691.499969447,30000
750761.3599991786,0
310661.49951534736,36000
269130.9999603122,24000
214234.99996206854,0
149130.99724770643,0
294467.09891304345,12000
484994.99981226533,48000
346875.49964994163,18000
786106.4995792427,36000
534446.8998897059,27000
120315.49965909091,27000
120966.99960422164,24000
182845.49987410827,30000
573248.5993548387,39000
278378.37967672414,0
198099.99920424403,0
167513.49987463435,15000
403420.99987068964,12000
57479.49984787018,48000
317207.9996907216,0
235061.99944134077,45000
483744.2999117128,0
397411.9992682927,33000
127882.49955752213,33000
186131.99903536978,33000
885504.5999991786,36000
567721.9799139415,18000
268492.3248135488,42000
148325.4996868476,33000
240148.99991508632,0
133430.04996057818,18000
1015892.7998998999,0
147632.9995821727,0
569852.0997844827,45000
639337.1998240469,45000
876386.6398064515,0
110346.49995232798,0
330851.999897541,24000
99386.99987266553,45000
381930.999767622,21000
106596.93975786924,0
127324.99985089463,42000
88045.99993693504,42000
1075674.5997224792,15000
267086.49993317,0
462409.49994090997,0
452700.9596235884,42000
241079.66992370295,0
669194.4997516556,12000
442385.49994783517,0
256855.49989102798,0
423448.14967141295,30000
164216.49983202686,0
307760.27994584834,21000
185487.69999917864,33000
486947.09986213234,0
718952.8997938144,0
588405.1698770492,27000
242010.49982993197,45000
634161.9996531792,0
869319.4999991786,24000
86034.49982110913,42000
252228.49928909953,45000
190308.77494359843,12000
615581.9998421883,0
443293.0999991786,0
258500.49999917863,0
475121.9999145056,0
578442.7498870482,0
164769.4096805112,36000
306728.4998893397,27000
413906.52437759336,15000
311486.4997272727,21000
141535.99991755976,30000
341178.99976190476,24000
645495.9996376812,18000
86005.99975903615,0
161379.4998264893,0
128340.99991733259,21000
80944.49983597595,45000
237911.99989983306,0
708364.5998707453,36000
687098.999927096,18000
282707.59993599314,18000
513092.9998182919,0
608917.5248748958,0
197855.49966960354,0
357751.49990630854,24000
542636.9999991786,45000
188488.39989875126,0
295299.89976322016,45000
266919.9998254799,0
429801.1998332407,0
392277.4984042553,21000
453605.3998399146,45000
365126.39967741934,0
295807.3991428571,0
60355.99994607226,0
619702.9999009247,45000
395762.49988439307,36000
269909.3398140112,12000
432625.69975825946,0
482009.0999543587,0
531506.9997851003,30000
340705.4746721311,0
432464.6744736843,0
354539.4999610794,0
524528.4395238095,15000
86098.49967602592,48000
306409.69985714287,15000
216804.99920844327,30000
385935.9996990973,12000
235268.9995215311,39000
122748.9986111111,0
253510.64994581905,15000
740972.999822695,0
209920.84991961412,12000
254818.99984701682,12000
1016364.7997235022,42000
273593.9992105263,33000
83849.13999917863,0
312885.59968911915,0
555701.999942879,0
405076.99979619565,36000
73578.99875518672,0
182576.68996012228,18000
263402.9989830509,24000
702606.2996503495,33000
963058.9997855611,21000
333499.9299247555,21000
266398.9998821218,30000
385955.9999367089,0
514033.49947183096,33000
247183.4995502249,18000
606307.4998348927,0
1159172.699931066,30000
278729.3897977074,48000
187755.82490291263,33000
199650.9998989899,48000
160879.7997150997,30000
468154.33963547996,21000
664101.9999991786,0
334333.99999917863,0
310120.1248999333,15000
203762.49944852942,30000
531812.9997674419,48000
336678.29945652175,0
79156.49986000934,24000
200357.999882675,21000
396568.9994230769,24000
389976.49939148076,18000
214752.99981238274,12000
111586.19999917864,39000
195099.11992150705,0
587002.4998064516,33000
158812.99993316998,42000
85445.49855072463,30000
255273.49845360825,0
308656.8999991786,0
565947.0999991786,33000
316227.9999653059,45000
294763.3998874718,30000
382048.9999412686,0
620021.4986175115,21000
267157.999797023,24000
382056.9996606335,0
218704.49987007363,48000
796458.0985365855,15000
311294.3499443929,18000
262690.299937552,42000
119767.51982269505,18000
427261.69967141293,21000
588665.9996842105,18000
860795.999625,0
233901.24962025316,33000
1024188.9594863014,15000
133587.9998141264,27000
149907.49777777778,18000
739741.4999622405,30000
225905.99924050632,0
94030.49973094171,39000
362336.9998269896,24000
179450.49956896552,36000
218476.99991428573,33000
459771.71991431015,45000
239489.9998850134,15000
88864.49995855209,30000
184654.79995722228,0
260708.99999917863,48000
334076.2999332443,45000
67148.99999917863,48000
236183.22995075508,12000
84596.49979577944,27000
228479.9997265269,0
480873.9992518703,33000
133145.79999917862,0
92312.99992511234,36000
403503.499602649,30000
294205.49969727546,12000
361974.9995319813,45000
240896.499933643,30000
478814.8997183098,15000
341962.4995978552,0
58557.99970355731,0
214367.49958275384,12000
173897.99832402234,36000
121454.4994117647,21000
274021.8999462751,0
213323.49999917863,0
159036.33991361933,0
190414.99981628903,42000
169430.49958563535,21000
464911.9993951613,0
103859.49986504723,0
287794.4994880546,42000
994428.0994923858,42000
162542.4997245179,0
290070.4599991786,0
191255.3399084808,12000
516317.9997237569,0
128253.24999917863,42000
251153.93994025094,0
159718.3397175141,33000
256059.49983425415,45000
120384.99979367263,39000
209091.74979123173,45000
240251.99966101695,30000
504447.99988033506,18000
1097550.9996567506,0
346497.4998273878,0
885984.0997555011,12000
124009.99680851064,15000
644530.499521531,36000
265059.4999004315,30000
317438.18973913044,12000
556356.7995850622,36000
130430.99990338164,42000
463233.4999127146,36000
587396.4999028182,18000
172127.74992559524,0
148947.9995290424,0
466711.99975609756,0
328001.64897959185,30000
234101.03893238434,24000
583212.4999341817,12000
441041.8597309417,36000
91787.99931818181,36000
353827.379955973,48000
383873.99945652176,0
437094.54960526316,0
301607.31990033225,30000
741092.9998250729,0
235017.91991173875,45000
242231.49994870042,0
984505.4998942917,33000
429399.8697948016,36000
151917.99986571172,33000
125580.49999917863,24000
212734.49991100564,27000
314198.49975825945,45000
224565.99992952784,39000
267147.9997359155,0
228435.4996681416,0
442534.99991544534,0
80204.99989484753,21000
118223.99962216624,15000
282999.4998251748,0
271548.5995575221,0
498601.4999014131,45000
637746.499942029,27000
219754.49979423868,0
306669.99980250164,0
164932.9999106611,0
59574.999877501024,0
115025.99955621302,0
327557.9998888477,0
432225.1999322187,27000
193448.99867256638,0
131204.49990105542,0
278432.6499091185,27000
107755.49962264151,33000
155040.30975570032,0
293327.03957924264,39000
332090.49973142345,0
190701.99996131528,24000
559369.4993273542,15000
36724.39971537002,0
133365.4999430091,33000
376445.7493303571,21000
166083.85980964467,39000
320849.2798609824,48000
85020.49883268483,0
431961.1996832102,39000
740502.9998050682,45000
427930.9989932886,0
551307.4995918367,45000
434346.4999542404,12000
236637.74999917863,33000
585460.8995016612,45000
441784.9999029754,27000
360594.9999045498,0
221082.99992293862,0
133575.99973309608,24000
119428.99940119761,0
365270.54954337905,15000
474539.2249137187,21000
132413.99994363022,33000
260418.29999917862,36000
284541.99996671843,48000
94306.49964747357,24000
59584.99989212513,24000
160733.3099278846,45000
513364.99982578395,33000
150318.84987018607,0
290028.4995879121,39000
488662.99992101104,21000
260767.2498026316,0
271162.0499991786,0
225796.49999917863,12000
276606.49999917863,39000
346784.99959404604,0
288573.6242125984,0
195016.39975806454,21000
119917.99964028777,18000
168940.47421259843,0
384207.4999174009,42000
635756.9199991785,36000
100610.99999917863,18000
441041.8597309417,45000
160972.8197584541,21000
152120.9992443325,24000
146681.56984126984,0
256386.49991266374,36000
496758.57991215226,24000
333860.49983425415,42000
190062.49985192498,0
141012.79995882514,48000
422994.99990539264,33000
197078.7498984084,0
215593.23971509974,0
261084.99999917863,0
639708.2493902439,24000
360534.9998769483,0
126145.49990850869,0
253705.49957924263,18000
485669.599594046,24000
79964.21999917863,0
461362.7498207885,0
116878.49964871195,30000
383235.99962121213,39000
611722.4996491228,0
556690.9998430142,45000
224702.49981096407,0
199147.42499917862,30000
112017.49993796526,0
150839.99993426818,48000
125070.99972014925,36000
383520.499899632,36000
449054.59940594056,30000
469197.99965792475,36000
555965.2398356164,12000
459147.5996760259,36000
409678.99984794727,27000
365554.4992518703,0
351274.7998116761,0
427574.3976190476,0
127340.99946808511,0
135884.72863013696,18000
699194.499533437,21000
383494.9996138996,30000
247365.99981048642,48000
180226.74988584474,0
47824.499889948645,45000
709010.8243927126,0
91406.49959072306,15000
291229.4996491228,0
422484.89940476185,15000
256444.4996462264,45000
159922.59876033058,42000
330506.99981226533,30000
394476.09962871287,0
169127.99963325183,0
128840.4999602649,48000
493477.4998238403,0
601363.8746996997,30000
598844.2998871756,0
910569.1493975903,0
294386.95969325147,0
329215.9997803807,30000
290898.99975288304,0
507969.6097829233,0
462444.9998191682,0
102100.99942084942,0
255092.9999121008,27000
290508.49999917863,15000
701368.9994827586,15000
233732.9988047809,21000
333636.99992370297,21000
613031.4745121951,21000
272817.9997142857,0
214273.99999917863,0
629954.0998219585,12000
252610.99994337486,42000
287007.02476415096,30000
140431.99992809203,21000
224432.49926289928,0
114717.49947089946,42000
441935.49999917863,30000
858668.8799991786,18000
615899.7491452992,45000
1116150.499736842,21000
461392.4495461422,0
212549.94996752896,0
233752.99986406887,15000
271859.4995907231,21000
574266.0999507874,42000
99950.15958847737,33000
293543.49979536154,18000
453005.9998922414,18000
737717.999797023,21000
359958.24972752045,42000
371545.99968321016,12000
240094.4998554217,27000
531132.4997145575,48000
548235.9998734178,0
350997.9995839112,0
89698.99996481763,0
311142.39966480446,12000
309571.4999500998,42000
288868.0997237569,0
253077.49886792453,39000
142668.99927184466,0
464310.99973867595,48000
572314.4998212158,36000
226627.24942418427,42000
141013.99984840828,12000
215343.99993736952,21000
573564.999702381,0
320119.49992783257,27000
149897.49850746267,18000
331293.9999295278,27000
137506.99987107865,21000
271812.99981214775,27000
457469.3496948118,48000
104764.99932432432,39000
220295.49986130375,0
144027.99940239044,0
170671.99992412748,27000
254195.99975688817,0
619813.9985436894,0
114491.72491467577,21000
218333.4999521531,36000
219373.99993318485,0
288430.99974424555,45000
262713.99957386364,12000
337386.7998275862,18000
278067.3398960859,24000
380844.9999045498,48000
153290.49999917863,12000
254112.4999107674,27000
294207.19994797086,36000
58172.999969739765,0
67826.4996763754,39000
186335.99999917863,33000
128164.99956458635,48000
700741.4999234889,0
585182.9996655518,30000
237918.04979094074,45000
127823.99967914438,0
833699.4997553017,0
256359.99886792453,0
328235.4997093023,33000
583558.1999752107,0
190783.4999439462,39000
346041.4993520518,42000
113977.49965947786,48000
206284.49985902256,0
85693.99970703125,0
194342.11984552006,15000
311714.4998344371,30000
254165.499907092,45000
237555.49991666665,42000
122138.49994421718,0
342708.79995178396,33000
361400.49985148513,0
993887.9999348817,45000
310848.1997909408,39000
150884.44986922404,45000
105359.99993272034,18000
322435.9998335183,24000
588597.9497326203,24000
390661.2498046875,27000
238138.99988597492,27000
169352.49994645725,0
151718.99993065186,36000
496130.3596216898,15000
140567.49996009047,36000
253775.499875467,42000
266834.99952755903,33000
164450.9999607638,0
306474.99968586385,15000
78942.49999917863,48000
378661.9995962315,36000
457952.49999917863,0
466801.4998939929,24000
363223.4998425197,21000
645767.9997979798,33000
236468.99982363314,0
516386.9998952148,27000
139669.24980379333,24000
650524.7249991786,48000
409042.66966367705,39000
81263.09985465115,15000
463021.4998905509,48000
570226.4749016393,0
86293.9998392283,27000
507541.19967391307,0
81149.19871244635,0
890526.4997005988,21000
390152.99967391306,0
237240.49990138068,48000
356776.87928909954,36000
634687.4997304583,0
385440.49992456625,0
388385.49977116706,48000
76609.99994224105,18000
146040.79955489613,0
92504.19978617248,24000
98113.99994208495,0
353275.9989361702,0
255567.49981595093,0
450230.9999278499,27000
621356.4992366412,0
766771.9999122551,18000
224300.4999762846,39000
297419.99974226806,0
545610.4993562232,0
414406.29963636363,0
410457.4991869919,0
624197.4998979245,0
660986.7499059561,48000
324313.99987883685,0
445763.24853658536,42000
737341.9998275862,15000
1145536.499044586,12000
311743.88999917865,0
225661.99994406116,48000
173634.49977843426,45000
53006.9998427673,30000
515377.4992366412,0
115270.99993492408,0
666988.1494285715,12000
362364.49999917863,48000
80114.49979181125,42000
64392.49949832776,0
125142.49978150036,21000
176076.04995431702,45000
127385.49952229299,0
16646.999999178628,0
268547.7495633188,21000
144413.49999917863,18000
118260.99985583854,0
498219.4997704667,30000
185017.9998223801,0
357904.9999605885,0
423582.99987593055,18000
102645.49983324068,15000
291679.1585849056,0
375283.4997235023,30000
559829.374818292,15000
138169.9998635123,0
425140.9993227991,15000
458624.74983739835,27000
525973.499820036,30000
179595.99961685823,0
91319.49980532122,42000
142003.4999402985,21000
438688.49846938776,0
186449.4998390558,0
709487.0999005635,0
135611.99999917863,24000
463028.4998888477,0
448874.0998133167,30000
331873.9991097923,0
157024.9998018494,12000
460829.71971098264,33000
145367.49971537,33000
146477.1690625,42000
128759.99906542056,48000
684176.4992366412,24000
264216.5243603412,39000
405390.4999093929,0
889612.5987951807,0
396706.99975144985,24000
232522.4999421854,42000
254646.99993485343,36000
230655.8499565469,12000
172115.4998349835,0
108073.7769230769,36000
130087.49979367263,21000
141755.49903846154,27000
142985.99933184855,27000
523379.0997277677,0
385170.3497751124,33000
290603.5999087036,0
229478.24999917863,45000
57796.3599748954,0
61789.99956140351,30000
362588.9998385361,48000
102701.49982216953,21000
266273.9998772504,24000
413406.64999917865,18000
487150.99991399085,21000
316513.99999917863,0
204460.99999917863,30000
176668.99988917622,42000
73137.99946140037,36000
124870.599669967,0
571662.7498694517,39000
150457.99991780822,33000
292799.9997863248,36000
213368.99999917863,18000
324313.99987883685,15000
239219.79976816074,24000
729804.1996042216,39000
115158.99990828492,48000
138547.57465197216,30000
117860.99990338164,0
311456.6998204668,36000
1098851.9999368952,0
133806.49986719788,0
397696.49948364886,18000
337873.29938398354,27000
463486.9992366412,27000
193779.09988165682,36000
266002.49999917863,0
115861.99911764706,15000
162091.67499917862,45000
296511.4998780488,45000
251993.99980976537,0
696057.41875,0
254496.49990982868,12000
289595.27465753426,0
207693.99988076312,33000
310525.19991055457,0
364798.89993930806,36000
287278.99960053264,30000
604439.4987603306,36000
184954.49999917863,15000
363100.49954198475,24000
702476.4997611465,0
219098.49989809783,0
60700.499854791866,12000
453711.8995384615,0
442385.49994783517,0
293500.3998135488,33000
320901.9999117647,30000
398762.33831460675,42000
289834.6249312715,0
385417.49896193773,0
151559.499689441,0
328397.4998613037,0
238980.9999454347,45000
466435.2999991786,12000
531278.499032258,0
143273.9998656516,48000
281410.4996449704,21000
251118.9998073218,33000
383315.49989983306,0
611162.5999205929,0
62218.4998783455,0
242439.4998496994,0
289952.99855769234,24000
723434.4997126437,42000
103917.49995542348,39000
143301.64937238494,18000
468668.7998545808,36000
216187.9995626822,15000
260871.4999633476,48000
244162.5598664292,24000
259897.4999089806,0
271532.9999759846,0
151095.89988244514,39000
507369.9998795664,0
346641.99979757087,15000
317695.92425925925,21000
265261.8499527633,48000
666352.4995,21000
267001.9996138996,0
429306.19975308643,45000
613107.9998241501,33000
179593.9998777008,36000
193435.99935760172,0
125663.49988683515,42000
218484.87490789068,0
264095.9999548669,12000
167001.7998487903,12000
164604.24930394432,0
162985.49995944303,18000
583330.4998659517,42000
310017.1996483001,15000
191921.15996076376,48000
409877.99977794226,0
381950.99990062934,30000
461469.2490595611,30000
67133.49999917863,42000
437800.49968782515,0
343523.4997790869,0
396943.49957805907,42000
304987.9999351071,33000
203045.9998710232,0
217429.9597169811,0
452877.49988304096,30000
157920.99999917863,30000
366747.099923254,42000
629424.0748694517,0
272684.0798473282,27000
414902.649747262,30000
120717.49990900818,0
101599.49905956113,0
329404.9998820291,39000
127040.9998509687,12000
149172.9998826291,0
127340.49992656059,0
75944.49989421721,15000
554947.999921011,36000
111407.49998290208,18000
485091.9999048223,0
320635.49978617247,45000
463223.71987608424,0
379638.9996462264,0
285734.6246617813,36000
546772.9998933902,0
309828.6991869919,0
617734.4996910401,42000
457049.2199991786,36000
206632.6798249708,15000
171437.49999917863,18000
877590.1499991786,15000
318931.9999680341,33000
507304.9998053212,0
68111.99993060375,0
216512.99976415094,33000
115909.09999917862,0
333095.9999314912,30000
382661.9995207668,24000
49818.499903598975,0
637462.9993449781,0
112535.69999917864,0
542941.0598508205,48000
242204.4990881459,0
390287.9981927711,21000
399813.89981072553,24000
219680.49931818183,24000
669834.9997811816,33000
128396.49975470155,0
256038.99987282747,0
670291.4195978552,36000
220563.4975609756,12000
712457.4998672566,45000
1036542.9999096385,0
515944.39741379314,0
105136.49965317918,21000
23584.849808429117,33000
342895.9998644986,0
220009.499875,24000
249743.99999917863,0
238784.49994618833,21000
835266.9998960859,0
596511.8249030068,24000
62062.99831460674,33000
397253.99952,0
688097.9997659907,15000
464557.49992706056,0
228302.9993362832,0
462858.9986784141,39000
288223.4998769483,33000
145467.99990134823,21000
331515.9997752809,33000
748311.4996746203,0
116321.99969293756,12000
371977.99986910995,24000
618841.9999005635,30000
338836.49983370287,0
262193.0249552573,0
57804.99974683544,48000
292642.89908814593,15000
271691.34975020814,0
253640.99982827704,27000
750761.3599991786,0
129615.99973214285,45000
