name,address,hours,lat,lng,rating,district
А 55,"Москва, улица Академика Анохина, 58",nan,55.65018,37.46937,4.9,Западный административный округ
Мебель Park,"Москва, поселение Московский, Киевское шоссе, 22-й километр, дв4с2кВ","ежедневно, 10:00–21:00",55.63474,37.439077,4.6,
Никулино,"Москва, улица Покрышкина, 5","ежедневно, круглосуточно",55.664349,37.469241,4.7,Западный административный округ
Family Room,"Москва, поселение Московский, деревня Румянцево, Центральная улица, 70А","ежедневно, 10:00–22:00",55.629745,37.423084,4.4,
Столица,"Москва, Солнцевский проспект, 21","пн-пт 08:00–23:00; сб,вс 09:00–23:00",55.64701,37.41169,4.6,Западный административный округ
ТЦ Саларьево,"Москва, поселение Мосрентген, улица Адмирала Корнилова, 63","ежедневно, 07:00–23:00",55.623178,37.441585,4.7,
Капитолий,"Москва, улица Миклухо-Маклая, 32А","ежедневно, 10:00–22:00",55.641048,37.530496,4.4,Юго-Западный административный округ
Калужский,"Москва, Профсоюзная улица, 61А","ежедневно, 10:00–22:00",55.655876,37.541598,4.4,Юго-Западный административный округ
ТЦ Ленинский 101,"Москва, Ленинский проспект, 101","ежедневно, круглосуточно",55.666482,37.515117,4.3,Юго-Западный административный округ
Тропа,"Москва, Профсоюзная улица, 118","ежедневно, 10:00–22:00",55.636167,37.521033,4.3,Юго-Западный административный округ
МЦ,"Москва, улица Миклухо-Маклая, 36А","ежедневно, 10:00–22:00",55.640223,37.532962,4.3,Юго-Западный административный округ
Шоколад,"Москва, улица Миклухо-Маклая, 18, корп. 3","ежедневно, 10:00–22:00",55.644422,37.520568,4.3,Юго-Западный административный округ
Альмирал,"Москва, проспект Вернадского, 86Б, стр. 1","ежедневно, 09:00–21:00",55.662183,37.480514,3.9,Западный административный округ
Фортуна 777,"Москва, посёлок завода Мосрентген, 22","ежедневно, 08:00–23:00",55.620946,37.474351,4.5,
