mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,split0_test_roc_auc_score,split1_test_roc_auc_score,split2_test_roc_auc_score,split3_test_roc_auc_score,split4_test_roc_auc_score,mean_test_roc_auc_score,std_test_roc_auc_score,rank_test_roc_auc_score,split0_test_false_positive_rate,split1_test_false_positive_rate,split2_test_false_positive_rate,split3_test_false_positive_rate,split4_test_false_positive_rate,mean_test_false_positive_rate,std_test_false_positive_rate,rank_test_false_positive_rate
0.011462831497192382,0.0009011809097385022,0.011857032775878906,0.001947552567104746,2,1,2,"{'max_depth': 2, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.8720565149136579,0.848411082242976,0.8637306993110658,0.856665808424814,0.8570442150598039,0.8595816639904635,0.007906442398199898,61,-0.6285714285714286,-0.6524822695035462,-0.6028368794326241,-0.6453900709219859,-0.6950354609929078,-0.6448632218844985,0.030355286270826124,1
0.009690523147583008,0.0014975170366867952,0.009747838973999024,0.0008055009234229291,2,1,3,"{'max_depth': 2, 'min_samples_leaf': 1, 'min_samples_split': 3}",0.8720565149136579,0.848411082242976,0.8637306993110658,0.856665808424814,0.8570442150598039,0.8595816639904635,0.007906442398199898,61,-0.6285714285714286,-0.6524822695035462,-0.6028368794326241,-0.6453900709219859,-0.6950354609929078,-0.6448632218844985,0.030355286270826124,1
0.009849739074707032,0.001002261224504413,0.012023448944091797,0.004817475900183905,2,1,4,"{'max_depth': 2, 'min_samples_leaf': 1, 'min_samples_split': 4}",0.8720565149136579,0.848411082242976,0.8637306993110658,0.856665808424814,0.8570442150598039,0.8595816639904635,0.007906442398199898,61,-0.6285714285714286,-0.6524822695035462,-0.6028368794326241,-0.6453900709219859,-0.6950354609929078,-0.6448632218844985,0.030355286270826124,1
0.008596181869506836,0.0002842124671143536,0.010323715209960938,0.0026757094891717973,2,1,5,"{'max_depth': 2, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.8720565149136579,0.848411082242976,0.8637306993110658,0.856665808424814,0.8570442150598039,0.8595816639904635,0.007906442398199898,61,-0.6285714285714286,-0.6524822695035462,-0.6028368794326241,-0.6453900709219859,-0.6950354609929078,-0.6448632218844985,0.030355286270826124,1
0.009595441818237304,0.0012819667045667587,0.00935516357421875,0.00030359939893225273,2,2,2,"{'max_depth': 2, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.8720565149136579,0.848411082242976,0.8637306993110658,0.856665808424814,0.8570442150598039,0.8595816639904635,0.007906442398199898,61,-0.6285714285714286,-0.6524822695035462,-0.6028368794326241,-0.6453900709219859,-0.6950354609929078,-0.6448632218844985,0.030355286270826124,1
0.009131526947021485,0.0005184260687612098,0.01113128662109375,0.0027015823532841043,2,2,3,"{'max_depth': 2, 'min_samples_leaf': 2, 'min_samples_split': 3}",0.8720565149136579,0.848411082242976,0.8637306993110658,0.856665808424814,0.8570442150598039,0.8595816639904635,0.007906442398199898,61,-0.6285714285714286,-0.6524822695035462,-0.6028368794326241,-0.6453900709219859,-0.6950354609929078,-0.6448632218844985,0.030355286270826124,1
0.00822310447692871,9.199156495205589e-05,0.008800649642944336,0.00019896721670760608,2,2,4,"{'max_depth': 2, 'min_samples_leaf': 2, 'min_samples_split': 4}",0.8720565149136579,0.848411082242976,0.8637306993110658,0.856665808424814,0.8570442150598039,0.8595816639904635,0.007906442398199898,61,-0.6285714285714286,-0.6524822695035462,-0.6028368794326241,-0.6453900709219859,-0.6950354609929078,-0.6448632218844985,0.030355286270826124,1
0.008696699142456054,0.001096333045828486,0.008702468872070313,0.0001713245053415583,2,2,5,"{'max_depth': 2, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.8720565149136579,0.848411082242976,0.8637306993110658,0.856665808424814,0.8570442150598039,0.8595816639904635,0.007906442398199898,61,-0.6285714285714286,-0.6524822695035462,-0.6028368794326241,-0.6453900709219859,-0.6950354609929078,-0.6448632218844985,0.030355286270826124,1
0.009357404708862305,0.002216766476463767,0.009688568115234376,0.0019788098347776313,2,3,2,"{'max_depth': 2, 'min_samples_leaf': 3, 'min_samples_split': 2}",0.8720565149136579,0.848411082242976,0.8637306993110658,0.856665808424814,0.8570442150598039,0.8595816639904635,0.007906442398199898,61,-0.6285714285714286,-0.6524822695035462,-0.6028368794326241,-0.6453900709219859,-0.6950354609929078,-0.6448632218844985,0.030355286270826124,1
0.009172725677490234,0.002760041101481897,0.008675956726074218,0.00021620874710368563,2,3,3,"{'max_depth': 2, 'min_samples_leaf': 3, 'min_samples_split': 3}",0.8720565149136579,0.848411082242976,0.8637306993110658,0.856665808424814,0.8570442150598039,0.8595816639904635,0.007906442398199898,61,-0.6285714285714286,-0.6524822695035462,-0.6028368794326241,-0.6453900709219859,-0.6950354609929078,-0.6448632218844985,0.030355286270826124,1
0.008103895187377929,0.00034725354291784784,0.008454418182373047,0.00018238797529256562,2,3,4,"{'max_depth': 2, 'min_samples_leaf': 3, 'min_samples_split': 4}",0.8720565149136579,0.848411082242976,0.8637306993110658,0.856665808424814,0.8570442150598039,0.8595816639904635,0.007906442398199898,61,-0.6285714285714286,-0.6524822695035462,-0.6028368794326241,-0.6453900709219859,-0.6950354609929078,-0.6448632218844985,0.030355286270826124,1
